Date,Close,Streak,Breakout_Magnitude_Pct,Peak_Excursion_Pct,Days_To_Peak,Velocity_Pct_Per_Day,Days_To_Recovery,Max_Adverse_Pct
2007-10-08,5085.10009765625,0,1.5374170266966791,1.6548327609624665,1,1.6548327609624665,1.0,1.6548327609624665
2007-10-17,5559.2998046875,3,0.3432923115651696,8.78527727416212,3,2.92842575805404,6.0,8.78527727416212
2007-10-19,5215.2998046875,1,1.031379667785464,2.768774715769239,1,2.768774715769239,2.0,2.768774715769239
2007-11-06,5786.5,3,0.5687692814078502,5.340015553443359,3,1.7800051844811196,5.0,5.340015553443359
2007-11-08,5698.75,1,0.7929566045687616,3.882430357534547,1,3.882430357534547,3.0,3.882430357534547
2007-11-12,5617.10009765625,0,0.5250790692655067,0.45397090236365817,1,0.45397090236365817,1.0,0.45397090236365817
2007-11-20,5780.89990234375,2,1.9155707028589202,6.686671819568803,2,3.3433359097844013,9.0,6.686671819568803
2007-11-21,5561.0498046875,1,3.3835436708795257,2.9976301757041646,1,2.9976301757041646,2.0,2.9976301757041646
2007-11-22,5519.35009765625,0,0.20792463720673307,0.08334491515954744,1,0.08334491515954744,1.0,0.08334491515954744
2007-11-28,5617.5498046875,0,0.6727896653180713,0.09701217115516367,1,0.09701217115516367,1.0,0.09701217115516367
2007-12-17,5777.0,1,3.957569968946706,1.736191876190064,2,0.868095938095032,4.0,1.736191876190064
2008-01-10,6156.9501953125,0,1.192373996990973,0.7211425984703199,1,0.7211425984703199,1.0,0.7211425984703199
2008-01-15,6074.25,5,1.5837653920933246,26.76462114664362,5,5.352924229328724,,62.91311684570111
2008-01-16,5935.75,4,1.9419128158244008,25.055805921745357,4,6.263951480436339,,62.04776144547866
2008-01-18,5705.2998046875,2,2.9760387363327663,22.02863736722315,2,11.014318683611576,,60.51478314690614
2008-01-21,5208.7998046875,1,8.247317162453761,14.59644895554042,1,14.59644895554042,4.0,14.59644895554042
2008-01-22,4899.2998046875,0,1.5631651251174692,0.15715933578678234,1,0.15715933578678234,1.0,0.15715933578678234
2008-01-30,5167.60009765625,1,1.1032946240610497,1.8664407750174923,1,1.8664407750174923,2.0,1.8664407750174923
