Type,Count,Mean_Streak,Median_Streak,Max_Streak,Mean_Breakout_Mag_Pct,Median_Peak_Excursion_Pct,Mean_Peak_Excursion_Pct,Median_Days_To_Peak,Mean_Velocity_Pct_Per_Day,Median_Velocity_Pct_Per_Day,Fwd_1d_Mean,Fwd_1d_WinRate,Fwd_2d_Mean,Fwd_2d_WinRate,Fwd_3d_Mean,Fwd_3d_WinRate,Fwd_5d_Mean,Fwd_5d_WinRate,Fwd_10d_Mean,Fwd_10d_WinRate,Fwd_20d_Mean,Fwd_20d_WinRate
Bullish,1446,1.3,1.0,12,0.699,1.364,4.008,3.0,0.42,0.311,0.117,57.3,0.154,57.7,0.209,57.5,0.248,58.1,0.51,59.1,1.034,61.2
Bearish,1190,1.07,1.0,7,0.796,1.306,3.501,2.0,0.697,0.46,-0.021,51.7,0.028,49.4,0.065,48.7,0.201,46.1,0.403,43.8,0.608,39.4
